m_mtrlalu;mtrakhir;blokno
952;994;A 04/016
112;112;A 04/016
0;0;A 04/016
0;0;A 04/016
2754;2754;A 04/017
0;0;A 04/017
0;0;A 04/017
690;702;A 04/018
0;0;A 04/018
222;244;A 04/018
0;0;A 04/018
209;222;A 04/018A
1998;1998;A 04/019
809;809;A 04/019
276;304;A 04/019
0;0;A 04/019
4070;4070;A 04/020
281;289;A 04/020
3461;3518;A 04/020
7985;8017;A 04/021
1620;1661;A 04/021
0;0;A 04/021
710;742;A 04/022
850;865;A 04/022
0;0;A 04/022
867;885;A 04/023
634;640;A 04/023
850;865;A 04/024
833;833;A 04/024
309;309;A 04/025
505;516;A 04/025
0;5;A 04/025
68;68;A 04/026
0;0;A 04/026
658;678;A 04/027
760;781;A 04/028
536;549;A 04/028
534;555;A 04/029
1285;1288;A 04/029
825;836;A 04/030
42;42;A 04/030
497;506;A 04/031
39;39;A 04/031
5563;5600;A 04/032
711;711;A 04/032
594;599;A 04/033
1072;1092;A 04/033
680;680;A 04/035
1057;1062;A 05/001
0;0;A 05/001
0;0;A 05/001
0;0;A 05/001
99;99;A 05/002
711;711;A 05/002
885;890;A 05/002
0;0;A 05/002
484;484;A 05/003
107;107;A 05/003
2028;2068;A 05/003
0;0;A 05/003
0;0;A 05/003A
26;26;A 05/005
369;401;A 05/005
0;0;A 05/005
0;0;A 05/005
136;136;A 05/006
1583;1614;A 05/006
164;194;A 05/006
0;0;A 05/006
992;1012;A 05/007
1159;1159;A 05/007
972;1032;A 05/007
0;0;A 05/007
1003;1003;A 05/008
1311;1333;A 05/008
681;697;A 05/008
0;0;A 05/008
15;15;A 05/009
657;678;A 05/009
0;0;A 05/009
386;396;A 05/010
316;349;A 05/010
0;0;A 05/010
4017;4086;A 05/011
153;153;A 05/011
0;0;A 05/011
1511;1597;A 05/012
1376;1377;A 05/012
464;489;A 05/012
0;0;A 05/012
2992;3162;A 05/012A
0;0;A 05/014
0;0;A 05/014
2087;2167;A 05/015
253;266;A 05/015
0;0;A 05/015
2808;2828;A 05/016
581;610;A 05/016
194;194;A 05/016
0;0;A 05/016
1951;2002;A 05/017
682;692;A 05/017
366;388;A 05/017
0;0;A 05/017
308;338;A 05/017A
1676;1715;A 05/018
18;35;A 05/018
0;0;A 05/018
0;0;A 05/018
128;143;A 05/018A
3029;3029;A 05/019
852;852;A 05/019
2566;2711;A 05/019
39;39;A 05/019
232;252;A 05/019A
614;625;A 05/020
1072;1092;A 05/020
153;177;A 05/021
112;122;A 05/022
163;171;A 05/023
53;53;A 05/024
149;170;A 05/025
608;645;A 05/025
223;243;A 05/026
576;598;A 05/026
1187;1209;A 05/026A
125;140;A 05/027
283;289;A 05/027
1385;1401;A 05/028
2385;2423;A 05/028
836;836;A 05/029
192;212;A 05/029
484;484;A 05/030
610;610;A 05/031
267;288;A 05/031
3489;3510;A 05/032
1955;1969;A 05/033
1245;1280;A 05/034
2120;2120;A 06/001
384;384;A 06/001
0;0;A 06/001
202;202;A 06/002
495;502;A 06/002
1282;1319;A 06/002
587;621;A 06/003
46;46;A 06/003
298;325;A 06/003
765;765;A 06/005
552;600;A 06/005
989;1009;A 06/005
3301;3312;A 06/006
548;581;A 06/006
1997;2053;A 06/006
273;294;A 06/007
1054;1077;A 06/007
293;294;A 06/007
0;0;A 06/008
1274;1274;A 06/008
143;172;A 06/008
153;163;A 06/009
816;822;A 06/009
2112;2164;A 06/009
655;670;A 06/010
3036;3089;A 06/010
240;240;A 06/010
1381;1383;A 06/011
733;750;A 06/011
13;13;A 06/011
1377;1403;A 06/011A
149;166;A 06/012
469;477;A 06/012
100;100;A 06/012
0;0;A 06/014
354;384;A 06/015
0;0;A 06/015
630;683;A 06/016
42;43;A 06/016
1489;1525;A 06/016A
2011;2029;A 06/017
1;1;A 06/017
99;99;A 06/017
243;259;A 06/018
1679;1736;A 06/018
267;267;A 06/018
818;818;A 06/019
1378;1397;A 06/019
605;635;A 06/019
2373;2390;A 06/020
155;170;A 06/020
0;0;A 06/020
1165;1196;A 06/021
571;607;A 06/021
1225;1252;A 06/021
305;320;A 06/022
335;357;A 06/022
1390;1413;A 06/022
2654;2694;A 06/023
1113;1144;A 06/023
1041;1055;A 06/023
1596;1596;A 06/024
1055;1075;A 06/024
0;0;A 06/024
598;621;A 06/025
1324;1361;A 06/025
924;958;A 06/025
1461;1505;A 06/026
2468;2525;A 06/026
1503;1527;A 06/026
693;710;A 06/027
72;75;A 06/027
1012;1019;A 06/027
529;542;A 06/028
444;446;A 06/028
606;626;A 06/029
5777;5793;A 06/030
518;529;A 06/031
1088;1118;A 06/032
1338;1354;A 06/033
2289;2289;A 06/034
977;1003;A 06/035
0;0;A 07/001
54;61;A 07/002
1265;1274;A 07/003
673;674;A 07/005
645;656;A 07/006
37;37;A 07/007
145;148;A 07/008
1216;1251;A 07/009
486;486;A 07/010
1206;1221;A 07/011
550;553;A 07/012
891;925;A 07/014
0;0;A 07/015
914;951;A 07/016
280;280;A 07/017
264;280;A 07/018
1374;1398;A 07/019
0;0;A 07/020
0;0;A 07/021
1233;1257;A 07/021A
1321;1349;A 07/022
1988;2040;A 07/023
0;0;A 07/024
673;673;A 07/025
1094;1099;A 07/026
607;609;A 07/027
4938;4938;A 07/028
1437;1466;A 07/029
697;712;A 07/030
2088;2104;A 07/031
21;21;A 07/032
2202;2223;A 07/033
0;0;A 07/034
0;0;AA01/001
93;112;AA01/001A
443;456;AA01/002
1302;1323;AA01/003
459;471;AA01/005
317;342;AA01/006
379;385;AA01/007
1537;1575;AA01/008
56;132;AA01/009
672;672;AA01/010
680;692;AA01/011
938;959;AA01/012
360;385;AA01/015
620;630;AA01/016
1516;1550;AA01/017
462;473;AA01/018
1308;1326;AA01/019
96;96;AA01/020
964;982;AA01/021
950;968;AA01/022
262;262;AA01/023
456;472;AA01/023A
465;480;AA01/023B
784;785;AA01/023C
961;982;AA01/023D
265;290;AA01/023E
567;587;AA01/023F
0;0;AA01/038
0;0;AA01/039
903;917;AA01/040
533;546;AA01/041
0;0;AA01/042
103;103;AA01/043
469;497;AA01/044
458;464;AA01/045
1459;1467;AA01/046
1149;1169;AA01/047
251;251;AA01/048
280;301;AA01/049
633;648;AA01/050
208;229;AA01/051
1923;1923;AA01/052
924;944;AA01/053
288;309;AA01/054
2019;2019;AA01/055
855;870;AA01/056
1710;1744;AA01/056A
0;0;AA01/057
0;0;AA01/058
1326;1393;AA01/059
400;427;AA01/060
0;0;AA01/061
0;0;AA02/001
506;529;AA02/001A
237;261;AA02/002
744;756;AA02/003
0;0;AA02/005
345;370;AA02/006
1468;1485;AA02/007
17;17;AA02/008
0;0;AA02/009
244;260;AA02/010
0;0;AA02/011
789;789;AA02/012
728;740;AA02/014
141;164;AA02/015
278;301;AA02/016
1203;1216;AA02/017
479;509;AA02/018
125;125;AA02/019
761;770;AA02/020
908;927;AA02/021
519;521;AA02/022
327;327;AA02/022A
1199;1223;AA02/023
0;0;AA02/024
1452;1471;AA02/025
0;0;AA02/026
287;300;AA02/027
105;118;AA02/028
524;524;AA02/029
0;0;AA02/030
222;222;AA02/030A
480;484;AA02/031
1135;1154;AA02/032
2074;2074;AA02/033
122;134;AA02/034
172;186;AA02/035
580;606;AA02/036
894;894;AA02/037
220;220;AA02/038
237;252;AA02/039
734;823;AA02/040
1553;1582;AA02/043
598;602;AA02/044
0;0;AA02/045
283;307;AA03/001
1627;1656;AA03/002
458;472;AA03/003
1394;1394;AA03/005
0;0;AA03/006
953;953;AA03/007
0;0;AA03/008
39;39;AA03/009
0;0;AA03/010
0;0;AA03/011
47;47;AA03/012
291;305;AA03/014
130;138;AA03/015
468;494;AA03/015A
439;453;AA03/016
689;711;AA03/017
953;977;AA03/018
3381;3387;AA03/019
1215;1249;AA03/020
909;909;AA03/021
243;243;AA03/022
259;300;AA03/023
35;50;AA03/024
0;0;AA04/009
320;320;AA04/010
20;20;AA04/011
694;694;AA04/016
0;0;AA04/017
1550;1579;AA04/018
281;305;AA05/001
414;448;AA05/002
919;938;AA05/003
759;777;AA05/005
472;472;AA05/006
376;413;AA05/007
320;343;AA05/008
341;373;AA05/009
230;250;AA05/010
175;186;AA05/011
102;102;AA05/012
315;339;AA05/015
402;408;AA05/016
724;741;AA05/017
0;0;AK /001
52578;53007;AS /001
0;0;AT0M/001
0;0;AT0M/001
0;0;AT0M/002
0;0;AT0M/003
0;0;AT0M/005
2388;2447;B /001
287;310;B /001
0;0;B /001
0;0;B /001
220;224;B /001
3910;3910;B /002
201;209;B /002
1066;1100;B /002
3028;3036;B /002
0;0;B /002
0;0;B /002
899;899;B /002
735;799;B /003
515;540;B /003
0;0;B /003
892;894;B /005
432;437;B /005
0;0;B /005
1520;1542;B /006
302;302;B /006
0;0;B /006
693;711;B /007
43;43;B /007
0;0;B /007
711;738;B /008
227;230;B /008
621;638;B /009
1378;1378;B /009
1277;1277;B /010
124;125;B /010
1046;1053;B /011
543;543;B /011
745;745;B /012
111;115;B /012
1407;1415;B /014
322;324;B /014
596;596;B /015
213;214;B /015
1175;1196;B /016
0;0;B /016
611;611;B /017
51;54;B /017
803;817;B /018
649;666;B /018
1401;1455;B /018T
208;222;B /019
0;0;B /020
1117;1156;B /021
1285;1285;B /022
10;10;B /023
47;48;B /024
132;132;B /025
51;51;B /026
805;805;B 01/001
0;0;B 01/001
0;0;B 01/001
0;0;B 01/001
0;0;B 01/001
6839;6861;B 01/002
496;496;B 01/002
0;0;B 01/002
0;0;B 01/002
0;0;B 01/002
1797;1850;B 01/003
987;1076;B 01/003
0;0;B 01/003
0;0;B 01/003
0;0;B 01/003A
229;237;B 01/005
742;780;B 01/005
0;0;B 01/005
0;0;B 01/005
0;0;B 01/005
190;190;B 01/006
0;0;B 01/006
0;0;B 01/006
0;0;B 01/006
0;0;B 01/006A
85;123;B 01/007
327;358;B 01/007
0;0;B 01/007
0;0;B 01/007
0;0;B 01/007
3081;3140;B 01/008
1435;1452;B 01/008
1179;1217;B 01/008
0;0;B 01/008
0;0;B 01/008
31;31;B 01/009
4507;4781;B 01/009
1165;1165;B 01/009
799;808;B 01/009
0;0;B 01/009
913;913;B 01/010
0;0;B 01/010
0;0;B 01/010
0;0;B 01/010
0;0;B 01/011
0;0;B 01/011
0;0;B 01/011
0;0;B 01/012
0;0;B 01/012
0;0;B 01/012
0;0;B 01/014
0;0;B 01/014
0;0;B 01/015
0;0;B 01/015
0;0;B 01/016
0;0;B 01/016
0;0;B 01/016
519;558;B 01/017
0;0;B 01/017
0;0;B 01/017
1989;2044;B 01/018
878;905;B 01/018
0;0;B 01/018
142;193;B 01/019
979;979;B 01/019
0;0;B 01/019
0;0;B 01/020
0;0;B 01/020
0;0;B 01/020
156;215;B 01/021
6781;7220;B 01/021
473;519;B 01/021
0;0;B 01/021A
0;0;B 01/022
0;0;B 01/022
0;0;B 01/022A
0;0;B 01/022B
1223;1238;B 01/023
0;0;B 01/023
0;0;B 01/023A
0;0;B 01/023B
2510;2557;B 01/023C
0;0;B 01/023D
0;0;B 01/023E
1200;1200;B 01/024
0;0;B 01/024
1235;1280;B 01/025
36;41;B 01/025
0;0;B 01/025
526;539;B 01/026
0;0;B 01/026
0;0;B 01/026
360;376;B 01/027
1549;1712;B 01/027
787;815;B 01/027
1611;1649;B 01/028
0;0;B 01/028
0;0;B 01/028
680;699;B 01/029
2308;2432;B 01/029
0;0;B 01/029
2996;3034;B 01/030
418;418;B 01/030
293;322;B 01/030
0;0;B 01/030
725;745;B 01/031
1659;1684;B 01/031
0;0;B 01/031
950;978;B 01/032
1124;1143;B 01/032
0;0;B 01/032
22;22;B 01/033
0;0;B 01/033
251;290;B 01/034
113;150;B 01/034
0;0;B 01/034
1548;1548;B 01/035
981;1004;B 01/035
0;0;B 01/035
3162;3256;B 01/035A
1468;1485;B 01/036
852;852;B 01/036
0;0;B 01/036
32;32;B 01/037
1527;1527;B 01/037
2118;2143;B 01/038
1006;1030;B 01/038
2811;2811;B 01/039
873;873;B 01/039
931;954;B 01/040
0;0;B 01/040
1072;1109;B 01/041
2306;2307;B 01/042
51;51;B 01/043
2375;2412;B 01/044
1632;1666;B 01/045
1150;1150;B 01/046
218;240;B 01/047
1113;1149;B 01/048
1149;1176;B 01/048
378;410;B 01/049
1290;1310;B 01/049A
648;660;B 01/049B
0;0;B 01/050
338;355;B 01/051
592;601;B 01/052
2643;2643;B 01/053
143;152;B 01/053
267;299;B 01/054
147;147;B 01/054
685;685;B 01/055
820;820;B 01/055
755;768;B 01/056
1820;23;B 01/056
2607;2640;B 01/057
359;359;B 01/057
2131;2181;B 01/058
0;0;B 01/058
2183;2224;B 01/059
781;817;B 01/060
333;333;B 01/060
3463;3493;B 01/061
2266;2276;B 01/061
2598;2674;B 01/062
2441;2441;B 01/062
611;624;B 01/063
215;215;B 01/063
76;105;B 01/064
925;930;B 01/064
959;968;B 01/065
2159;2162;B 01/065
225;229;B 01/066
1762;1762;B 01/066
947;947;B 01/067
1371;1384;B 01/067
269;285;B 01/068
368;396;B 01/069
0;0;B 01/070
4588;4588;B 02/001
1573;1653;B 02/001
699;719;B 02/001
0;0;B 02/001
784;809;B 02/002
593;605;B 02/002
691;694;B 02/002
370;386;B 02/002
1002;1020;B 02/003
2814;2814;B 02/003
1191;1233;B 02/003
342;342;B 02/003
54;54;B 02/005
855;870;B 02/005
1715;1810;B 02/005
1315;1347;B 02/005
235;257;B 02/006
131;132;B 02/006
1084;1093;B 02/006
0;0;B 02/006
727;761;B 02/007
897;914;B 02/007
0;0;B 02/007
113;113;B 02/008
640;670;B 02/008
1491;1531;B 02/008
0;0;B 02/008
0;0;B 02/008A
0;0;B 02/008B
0;0;B 02/008C
108;124;B 02/009
666;689;B 02/009
81;110;B 02/009
0;0;B 02/009
0;0;B 02/009A
182;184;B 02/010
778;793;B 02/010
0;0;B 02/010
1537;1537;B 02/011
146;177;B 02/011
0;0;B 02/011
0;0;B 02/011
1632;1632;B 02/012
1211;1231;B 02/012
0;0;B 02/012
0;0;B 02/012
1476;1508;B 02/014
1004;1017;B 02/014
0;0;B 02/014
928;961;B 02/015
2031;2031;B 02/015
615;615;B 02/015
0;0;B 02/015
0;0;B 02/015
1036;1136;B 02/015A
5782;5782;B 02/016
2258;2339;B 02/016
794;836;B 02/016
931;978;B 02/016
0;0;B 02/016
650;664;B 02/017
181;295;B 02/017
0;0;B 02/017
0;0;B 02/017
169;207;B 02/018
67;90;B 02/018
0;0;B 02/018
0;0;B 02/018
2715;2715;B 02/019
410;410;B 02/019
101;112;B 02/019
0;0;B 02/019
0;0;B 02/019
3;3;B 02/020
2183;2183;B 02/020
6;37;B 02/020
0;0;B 02/020
0;0;B 02/020
1;1;B 02/021
482;482;B 02/021
73;73;B 02/021
0;0;B 02/021
560;568;B 02/022
2346;2409;B 02/022
48;48;B 02/022
0;0;B 02/022
4123;4235;B 02/022A
586;590;B 02/023
289;312;B 02/023
690;705;B 02/023
0;0;B 02/023
1054;1054;B 02/024
1590;1621;B 02/024
748;782;B 02/024
0;0;B 02/024
0;0;B 02/024A
217;232;B 02/024B
768;768;B 02/025
1062;1062;B 02/025
0;0;B 02/025
0;0;B 02/025
757;772;B 02/026
1552;1561;B 02/026
0;0;B 02/026
0;0;B 02/026
1036;1036;B 02/027
2913;2934;B 02/027
0;0;B 02/027
629;640;B 02/028
636;680;B 02/028
802;829;B 02/028
0;0;B 02/028
691;691;B 02/029
766;786;B 02/029
607;13;B 02/029
0;0;B 02/029
650;650;B 02/029A
1195;1250;B 02/030
5194;5201;B 02/030
80;82;B 02/030
439;439;B 02/031
2614;2614;B 02/031
420;421;B 02/031
456;456;B 02/032
456;462;B 02/032
366;375;B 02/032
244;244;B 02/033
133;202;B 02/033
109;109;B 02/033
757;804;B 02/034
0;0;B 02/034
1619;1644;B 02/035
662;662;B 02/035
25;53;B 02/035
349;375;B 02/036
1624;1645;B 02/036
0;0;B 02/036
220;220;B 02/037
380;380;B 02/038
0;0;B 02/038
0;0;B 02/038A
600;629;B 02/039
0;0;B 02/039
688;701;B 02/040
0;0;B 02/041
0;0;B 02/042
738;739;B 02/043
0;0;B 02/044
0;0;B 02/045
785;800;B 02/046
1057;1078;B 02/047
193;203;B 02/048
0;0;B 02/049
25;25;B 02/050
394;414;B 02/051
